Data as of,Start week,End Week,Group,State,Indicator,COVID-19 Deaths,Total Deaths,Percent of Expected Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths",Footnote
9/25/20,6/13/20,6/13/20,By week,Alaska,Week-ending,,88,1.07,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,Alaska,Week-ending,0,88,1.03,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/27/20,6/27/20,By week,Alaska,Week-ending,0,86,1.11,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Alaska,Week-ending,,82,0.98,,0,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/11/20,7/11/20,By week,Alaska,Week-ending,,96,1.09,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/18/20,7/18/20,By week,Alaska,Week-ending,,83,1.1,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,Alaska,Week-ending,,83,1.16,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/1/20,8/1/20,By week,Alaska,Week-ending,,108,1.43,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/8/20,8/8/20,By week,Alaska,Week-ending,,92,1.17,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,Alaska,Week-ending,,61,0.67,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/22/20,8/22/20,By week,Alaska,Week-ending,,83,0.98,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/29/20,8/29/20,By week,Alaska,Week-ending,,65,0.82,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/5/20,9/5/20,By week,Alaska,Week-ending,,59,0.73,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/12/20,9/12/20,By week,Alaska,Week-ending,,28,0.35,,,0,,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,9/19/20,9/19/20,By week,Alaska,Week-ending,0,,0.06,0,0,0,0,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Arizona,Week-ending,0,"1,264",0.99,74,0,13,87,
9/25/20,2/8/20,2/8/20,By week,Arizona,Week-ending,0,"1,263",1.02,79,0,11,90,
9/25/20,2/15/20,2/15/20,By week,Arizona,Week-ending,0,"1,311",1.11,92,0,14,106,
9/25/20,2/22/20,2/22/20,By week,Arizona,Week-ending,0,"1,341",1.11,80,0,11,91,
9/25/20,2/29/20,2/29/20,By week,Arizona,Week-ending,0,"1,351",1.1,80,0,15,95,
9/25/20,3/7/20,3/7/20,By week,Arizona,Week-ending,0,"1,379",1.12,77,0,14,91,
9/25/20,3/14/20,3/14/20,By week,Arizona,Week-ending,0,"1,348",1.1,82,0,11,93,
9/25/20,3/21/20,3/21/20,By week,Arizona,Week-ending,,"1,289",1.07,103,,,112,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/28/20,3/28/20,By week,Arizona,Week-ending,31,"1,323",1.11,117,19,,134,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Arizona,Week-ending,58,"1,356",1.11,124,32,,154,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Arizona,Week-ending,91,"1,402",1.15,149,52,,192,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Arizona,Week-ending,96,"1,316",1.14,117,43,,171,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Arizona,Week-ending,106,"1,382",1.18,120,42,,185,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Arizona,Week-ending,104,"1,398",1.2,124,47,0,181,
9/25/20,5/9/20,5/9/20,By week,Arizona,Week-ending,127,"1,426",1.24,138,71,0,194,
9/25/20,5/16/20,5/16/20,By week,Arizona,Week-ending,118,"1,305",1.21,128,69,0,177,
9/25/20,5/23/20,5/23/20,By week,Arizona,Week-ending,95,"1,288",1.19,116,52,0,159,
9/25/20,5/30/20,5/30/20,By week,Arizona,Week-ending,113,"1,310",1.17,120,50,,184,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,Arizona,Week-ending,132,"1,397",1.27,137,72,0,197,
9/25/20,6/13/20,6/13/20,By week,Arizona,Week-ending,171,"1,461",1.29,158,99,0,230,
9/25/20,6/20/20,6/20/20,By week,Arizona,Week-ending,205,"1,546",1.44,169,108,,267,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/27/20,6/27/20,By week,Arizona,Week-ending,254,"1,612",1.45,200,137,,318,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,Arizona,Week-ending,373,"1,770",1.59,273,207,0,439,
9/25/20,7/11/20,7/11/20,By week,Arizona,Week-ending,490,"1,947",1.78,408,306,0,592,
9/25/20,7/18/20,7/18/20,By week,Arizona,Week-ending,538,"1,979",1.78,410,338,0,610,
9/25/20,7/25/20,7/25/20,By week,Arizona,Week-ending,468,"1,841",1.75,344,282,0,530,
9/25/20,8/1/20,8/1/20,By week,Arizona,Week-ending,383,"1,781",1.65,287,222,0,448,
9/25/20,8/8/20,8/8/20,By week,Arizona,Week-ending,299,"1,568",1.47,227,178,,349,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,Arizona,Week-ending,245,"1,505",1.48,203,143,0,305,
9/25/20,8/22/20,8/22/20,By week,Arizona,Week-ending,165,"1,465",1.4,138,87,0,216,
9/25/20,8/29/20,8/29/20,By week,Arizona,Week-ending,124,"1,417",1.3,124,70,0,178,
9/25/20,9/5/20,9/5/20,By week,Arizona,Week-ending,82,"1,220",1.11,114,53,0,143,
9/25/20,9/12/20,9/12/20,By week,Arizona,Week-ending,40,"1,111",1.05,72,24,0,88,
9/25/20,9/19/20,9/19/20,By week,Arizona,Week-ending,19,717,0.68,37,,0,48,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/1/20,2/1/20,By week,Arkansas,Week-ending,0,681,1.05,56,0,,64,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/8/20,2/8/20,By week,Arkansas,Week-ending,0,672,1.02,50,0,,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,Arkansas,Week-ending,0,688,1.02,38,0,,43,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/22/20,2/22/20,By week,Arkansas,Week-ending,0,695,1.02,53,0,12,65,
9/25/20,2/29/20,2/29/20,By week,Arkansas,Week-ending,0,656,1.03,32,0,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/7/20,3/7/20,By week,Arkansas,Week-ending,0,696,1.06,42,0,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,Arkansas,Week-ending,0,628,0.98,37,0,,41,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,Arkansas,Week-ending,0,635,1.01,54,0,11,65,
9/25/20,3/28/20,3/28/20,By week,Arkansas,Week-ending,,640,1.01,41,,,51,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/4/20,4/4/20,By week,Arkansas,Week-ending,11,606,0.99,52,,0,61,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/11/20,4/11/20,By week,Arkansas,Week-ending,14,634,1,59,,,70,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,Arkansas,Week-ending,12,635,1.09,49,,0,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,Arkansas,Week-ending,14,614,1.04,46,,0,56,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,Arkansas,Week-ending,22,630,1.05,40,,0,59,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/9/20,5/9/20,By week,Arkansas,Week-ending,24,661,1.11,45,,,63,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,Arkansas,Week-ending,,582,0.98,34,,,39,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,Arkansas,Week-ending,20,641,1.08,43,,0,57,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/30/20,5/30/20,By week,Arkansas,Week-ending,19,610,1.05,37,12,0,44,
9/25/20,6/6/20,6/6/20,By week,Arkansas,Week-ending,26,646,1.13,40,12,0,54,
9/25/20,6/13/20,6/13/20,By week,Arkansas,Week-ending,34,650,1.06,50,17,0,67,
9/25/20,6/20/20,6/20/20,By week,Arkansas,Week-ending,45,704,1.24,46,16,0,75,
9/25/20,6/27/20,6/27/20,By week,Arkansas,Week-ending,46,663,1.16,54,21,0,79,
9/25/20,7/4/20,7/4/20,By week,Arkansas,Week-ending,39,684,1.17,45,16,0,68,
9/25/20,7/11/20,7/11/20,By week,Arkansas,Week-ending,47,658,1.13,53,23,0,77,
9/25/20,7/18/20,7/18/20,By week,Arkansas,Week-ending,56,688,1.19,58,25,,90,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/25/20,7/25/20,By week,Arkansas,Week-ending,73,708,1.28,72,35,0,110,
9/25/20,8/1/20,8/1/20,By week,Arkansas,Week-ending,83,734,1.35,81,42,0,122,
9/25/20,8/8/20,8/8/20,By week,Arkansas,Week-ending,89,719,1.24,79,41,,127,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,8/15/20,8/15/20,By week,Arkansas,Week-ending,87,754,1.33,77,32,0,132,
9/25/20,8/22/20,8/22/20,By week,Arkansas,Week-ending,89,717,1.26,84,43,0,130,
9/25/20,8/29/20,8/29/20,By week,Arkansas,Week-ending,91,700,1.25,78,40,0,129,
9/25/20,9/5/20,9/5/20,By week,Arkansas,Week-ending,70,647,1.15,61,32,0,99,
9/25/20,9/12/20,9/12/20,By week,Arkansas,Week-ending,67,579,0.94,58,32,0,93,
9/25/20,9/19/20,9/19/20,By week,Arkansas,Week-ending,19,288,0.49,22,11,0,30,
9/25/20,2/1/20,2/1/20,By week,California,Week-ending,0,"5,682",0.98,427,0,60,487,
9/25/20,2/8/20,2/8/20,By week,California,Week-ending,,"5,911",1.05,449,0,68,518,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/15/20,2/15/20,By week,California,Week-ending,0,"5,584",0.99,427,0,78,505,
9/25/20,2/22/20,2/22/20,By week,California,Week-ending,,"5,795",1.03,462,0,72,535,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,2/29/20,2/29/20,By week,California,Week-ending,0,"5,678",0.99,433,0,71,504,
9/25/20,3/7/20,3/7/20,By week,California,Week-ending,,"5,730",1.01,481,0,56,539,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/14/20,3/14/20,By week,California,Week-ending,,"5,460",0.98,426,,54,484,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,3/21/20,3/21/20,By week,California,Week-ending,44,"5,674",1.05,480,19,43,548,
9/25/20,3/28/20,3/28/20,By week,California,Week-ending,131,"5,686",1.06,579,70,27,667,
9/25/20,4/4/20,4/4/20,By week,California,Week-ending,289,"5,975",1.12,630,158,24,785,
9/25/20,4/11/20,4/11/20,By week,California,Week-ending,381,"6,042",1.18,644,222,,808,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/18/20,4/18/20,By week,California,Week-ending,534,"6,126",1.2,739,325,,955,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,4/25/20,4/25/20,By week,California,Week-ending,526,"5,931",1.15,677,294,,912,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/2/20,5/2/20,By week,California,Week-ending,542,"5,735",1.13,625,293,0,874,
9/25/20,5/9/20,5/9/20,By week,California,Week-ending,550,"5,657",1.14,623,297,,876,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/16/20,5/16/20,By week,California,Week-ending,499,"5,677",1.15,571,270,,801,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/23/20,5/23/20,By week,California,Week-ending,485,"5,521",1.12,558,268,,778,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,5/30/20,5/30/20,By week,California,Week-ending,459,"5,581",1.13,572,260,,772,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/6/20,6/6/20,By week,California,Week-ending,444,"5,498",1.1,530,251,,724,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/13/20,6/13/20,By week,California,Week-ending,442,"5,544",1.12,531,241,,733,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/20/20,6/20/20,By week,California,Week-ending,453,"5,466",1.1,505,225,,734,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,6/27/20,6/27/20,By week,California,Week-ending,488,"5,670",1.18,553,262,,780,One or more data cells have counts between 1–9 and have been suppressed in accordance with NCHS confidentiality standards.
9/25/20,7/4/20,7/4/20,By week,California,Week-ending,624,"5,860",1.2,604,342,0,886,
9/25/20,7/11/20,7/11/20,By week,California,Week-ending,723,"6,001",1.24,714,391,0,"1,046",
9/25/20,7/18/20,7/18/20,By week,California,Week-ending,870,"6,184",1.3,750,471,0,"1,149",
